model,fold,mape,rmse,converged
Sazonal ingênuo,1,31.537789359359664,923.4556219517458,True
SARIMA,1,40.28376581996569,1128.1046342004947,True
Prophet,1,4.279515767985918,136.08081955577921,True
Sazonal ingênuo,2,28.488473911173912,850.0358815955948,True
SARIMA,2,19.169206230917663,605.9393774625423,True
Prophet,2,5.836103412634252,188.57869077982286,True
Sazonal ingênuo,3,21.27427492759212,696.1908092305894,True
SARIMA,3,34.73229897860263,1045.0190513215741,True
Prophet,3,3.7202936876843387,142.53377204508755,True
